"Year","Gender","Class","Name","Mark","Event","State"
NA,NA,NA,"Tiff Ferguson      Holdrege                      ","5-4","High Jump","Nebraska"
NA,NA,NA,"Julie Trouba       Columbus Scotus               ","5-2","High Jump","Nebraska"
NA,NA,NA,"Stella Klassen       Henderson              ",":12.35","100m","Nebraska"
NA,NA,NA,"Valerie Rempel        Tri County                  ","2:17.53","800m","Nebraska"
NA,NA,NA,"Valerie Rempel       Tri County            ","5:18.58","1600m","Nebraska"
NA,NA,NA,"Diana Lavington     Gibbon                        ","5-04","High Jump","Nebraska"
NA,NA,NA,"Mandy Poppe         Randolph                      ","5-04","High Jump","Nebraska"
NA,NA,NA,"Laci Wilson             Silver Lake         ",":12.44","100m","Nebraska"
NA,NA,NA,"Darcy Stracke         Chambers                          ","2:18.49","800m","Nebraska"
NA,NA,NA,"Darcy Stracke           Chambers           ","5:19.24","1600m","Nebraska"
NA,NA,NA,"Tonya Kneifl        Newcastle                           ","5-06","High Jump","Nebraska"
1996,"Boys","A","Doug Ourada         Kearney             ",":10.67","100m","Nebraska"
1996,"Boys","A","Eric Sanchez        Kearney             ","1:54.79","800m","Nebraska"
1996,"Boys","A","Brandon Jessop      Kearney            ","4:24.46","1600m","Nebraska"
1996,"Boys","A","Dave Fleming        Papillion-LaVista    ","6-06","High Jump","Nebraska"
1996,"Boys","A","Nick Ranslem        Fremont              ","15-02","Pole Vault","Nebraska"
1996,"Boys","B","Levi Scheppers       Gering            ",":10.89","100m","Nebraska"
1996,"Boys","B","Anthony Alt           Waverly              ","1:54.41","800m","Nebraska"
1996,"Boys","B","Anthony Alt          Waverly          ","4:21.26","1600m","Nebraska"
1996,"Boys","B","Justin Burhoop      Seward                 ","6-06","High Jump","Nebraska"
1996,"Boys","B","Brandon Cerny       Ogallala               ","6-04","High Jump","Nebraska"
1996,"Boys","B","Jim Soukup            Seward                ","14-00","Pole Vault","Nebraska"
1996,"Boys","C","RJ Young             Bennington           ",":11.02","100m","Nebraska"
1996,"Boys","C","Jesse Haecker       Tri County            ","1:58.60","800m","Nebraska"
