Year,Event,Class,Name,School,Mark
,1 Mile Run,3A,Nell Spillman,North Cobb Warriors,05:16.0
,,2A,Gretchen Blaschke,Ridgeview (ATL) Redskins,05:34.7
,,1A,Kim Smith,North Springs Spartans,05:19.4
,,B,Alisa Davis,Pace Academy Knights,05:32.0
,440 Yd. Dash,3A,Pam Parker,Douglas County Tigers,57
,,2A,Laverne Winbush,"Tri-County Eagles (Marion, Schley & Webster County)",58.7
,,1A,Lawanda Stewart,Archer (ATL) Eagles,57.9
,,B,Alison McCrary,Berry Academy Falcons,59.3
,100 Yd. Dash,3A,Catherine Horton,Laney Wildcats,11.2
,,2A,Susan Green,Harper (ATL) Trojans,11.1
,,1A,Rhonda Champion,Archer (ATL) Eagles,11.1
,,B,Michelle Whatley,Berry Academy Falcons,11.3
,110 Yd. Low Hurdles,3A,Cynthia Richardson,Hardaway Hawks,14.7
,,2A,Gail Meadows,Harper (ATL) Trojans,15
,,1A,Pat Allen,Walker Wolverines,14.9
,,B,Brenda Clark,Toombs Central Yellow Jackets (Toombs County),14.9
,880 Yd. Run,3A,Karen Akridge,Peachtree (ATL) Patriots (Dunwoody),02:21.0
,,2A,Cynthia Gilbert,Gordon Generals (McNair Middle),02:19.5
,,1A,Vicki Whitlow,Headland (ATL) Highlanders (Tri-Cities),02:19.8
,,B,Patricia Foster,Lanier County Tigers,02:28.9
,220 Yd. Dash,3A,Helen Dent,Evans Bulldogs,25.9
,,2A,Susan Green,Harper (ATL) Trojans,25.5
,,1A,Rhonda Champion,Archer (ATL) Eagles,25.2
,,B,Michelle Whatley,Berry Academy Falcons,25.3
,2 Mile Run,3A,Lisa Campbell,Peachtree (ATL) Patriots (Dunwoody),11:59.6
,,2A,Tara Myler,Riverwood Raiders,11:57.6
,,1A,Karen Gamel,Headland (ATL) Highlanders (Tri-Cities),12:05.5
,,B,Alisa Davis,Pace Academy Knights,12:06.5
,Mile Relay,3A,"Patrick Arnold, Martha Thomas, Nekita Shivers, Pam Parker",Douglas County Tigers,04:05.2
,,2A,"Amy Lyle, Tracey Fesler, Lorrie Tomlinson, Daphne Lee",Winder-Barrow Bulldoggs,04:05.5
,,1A,"Julie Vanderpool, Mary Sir, Dena Spier, Christy Decker",Crestwood (ATL) Colonels,04:05.0
,,B,"Marshall Dasher, Brenda Clark, Faye Edgerton, Clara Harden",Toombs Central Yellow Jackets (Toombs County),04:12.6
,Discus,3A,Susan Hintz,Chamblee Bulldogs,"108' 6"""
,,2A,Victoria McClendon,Ridgeview (ATL) Redskins,"119' 3"""
,,1A,Carol Moore,Claxton Tigers,"108' 9"""
,,B,Donna Conaway,Temple Tigers,"110' 1"""
,High Jump,3A,Dusty Craig,Windsor Forest Knights,"5' 0"""
,,2A,Cynthia Gilbert,Gordon Generals (McNair Middle),"5' 4"""
,,1A,Dena Spier,Crestwood (ATL) Colonels,"5' 2.25"""
,,B,Debora Hodges,Reidsville Tigers (Tattnall County),"5' 5"""
,Shot Put,3A,Regina Hayes,Savannah Blue Jackets,"38' 8"""
,,2A,Victoria McClendon,Ridgeview (ATL) Redskins,"43' 1.5"""
,,1A,Felecia Scott,Claxton Tigers,"40' 0.25"""
,,B,Becky Bailey,Gordon Lee Trojans,"34' 0"""
,Long Jump,3A,Lisa Jones,Valdosta Wildcats,"18' 4"""
,,2A,Gwen Street,Swainsboro Tigers,"19' 3.5"""
,,1A,Veronica Walker,Johnson County Tigers,"18' 4.25"""
,,B,Michelle Whatley,Berry Academy Falcons,"18' 0"""
1977,440 Yd. Relay,3A,"Marilyn Banks, Geri Wyatt, Sandra Jennings, Barbara Wyatt",Newton County Rams,49.3
,,2A,"Arlene Mathis, Belinda Phillips, Gail Meadows, Susan Green",Harper (ATL) Trojans,48.6
,,1A,"Janice Young, Vera Leverett, Ganella Tanksley, Deborah Dunn",Harlem Bulldogs,50.4
,,B,"Debra Brown, Marnie Williams, Barbara Hill, Frances Leary",Vienna Vikings (Dooly County),50.9
,1 Mile Run,3A,Claudia Escribano,Briarcliff Barons (Druid Hills),05:17.2
,,2A,Mary Carol Rawe,Stone Mountain Pirates,05:14.6
,,1A,Debbie Floyd,Smith Fighting Smithies (Jackson-ATL),05:22.0
,,B,Margie Ray,Palmetto (ATL) Raiders (Creekside),05:36.4
,440 Yd. Dash,3A,Glenda Boss,Washington (ATL) Bulldogs,58.6
,,2A,Karen Key,Lakeshore Lancers (Westlake),58.6
,,1A,Melandie Candies,Smith Fighting Smithies (Jackson-ATL),59.8
,,B,Mary McCall,Toombs Central Yellow Jackets (Toombs County),59.1
,100 Yd. Dash,3A,Stephanie Amey,Chamblee Bulldogs,11.2
,,2A,Covids Williams,Bradwell Institute Tigers,11
,,1A,Rhonda Champion,Archer (ATL) Eagles,10.9
,,B,Clara Harden,Toombs Central Yellow Jackets (Toombs County),11.2
,110 Yd. Low Hurdles,3A,Karen Mitchell,Osborne Cardinals,14.9
,,2A,Gail Meadows,Harper (ATL) Trojans,14.6
,,1A,Sonja Barron,East Wildcats (Crim),15.1
,,B,Ada Healey,Pace Academy Knights,15.2
,880 Yd. Run,3A,Glenda Boss,Washington (ATL) Bulldogs,2:22
,,2A,Mary Carol Rawe,Stone Mountain Pirates,02:23.1
,,1A,Sherry Hect,Lovett Lions,02:25.9
,,B,Mary McCall,Toombs Central Yellow Jackets (Toombs County),02:21.5
,220 Yd. Dash,3A,Pam Parker,Douglas County Tigers,25.4
,,2A,Susan Green,Harper (ATL) Trojans,25
,,1A,Rhonda Champion,Archer (ATL) Eagles,25.5
,,B,Clara Harden,Toombs Central Yellow Jackets (Toombs County),26.1
,Mile Relay,3A,"Brenda Arnold, Pam Parker, Nekita Shivers, Martha Thomas",Douglas County Tigers,04:02.8
,,2A,"Virginia Allen, Alfrieda Powers, Brenda Gilliam, Angelita Smith",Madison County Red Raiders,04:08.9
,,1A,"Peggy Derum, Jennifer Silver, Christy Decker, Dena Spier",Crestwood (ATL) Colonels,04:07.0
,,B,"Faye Edgerton, Clara Harden, Mary McCall, Marshell Dasher",Toombs Central Yellow Jackets (Toombs County),04:12.0
,Discus,3A,Sharon Roach,Washington (ATL) Bulldogs,"122' 5.5"""
,,2A,Victoria McLendon,Ridgeview (ATL) Redskins,"121' 0"""
,,1A,Diane Fuller,Irwin County Indians,"113' 5"""
,,B,Nell Rhymes,Pelham Hornets,"109' 6.25"""
,High Jump,3A,Vanessa Allen,Laney Wildcats,"5' 4"""
,,2A,Holly Hoover,Ringgold Tigers,"5' 5"""
,,1A,Dena Spier,Crestwood (ATL) Colonels,"5'1"""
,,B,Debora Hodges,Reidsville Tigers (Tattnall County),"5' 6"""
,Shot Put,3A,Sharon Roach,Washington (ATL) Bulldogs,"42' 0.5"""
,,2A,Victoria McLendon,Ridgeview (ATL) Redskins,"45' 7.5"""
,,1A,Camille Howard,Douglass (Montezuma) Yellow Jackets (Macon County),"42' 4"""
,,B,Nell Rhymes,Pelham Hornets,"38' 7"""
,Long Jump,3A,Stephanie Amey,Chamblee Bulldogs,"18' 6.25"""
,,2A,Barbara Murray,Worth County Rams,"17' 4"""
,,1A,Barbara Kennedy,East Rome Gladiators (Rome),"18' 0.5"""
,,B,Cathy Billingslea,West Point Red Devils (Troup),"17' 2"""
1976,440 Yd. Relay,3A,"Karen Key, Gail Meadows, Susan Green, Belinda Phillips",Harper (ATL) Trojans,49.2
,,2A,"Deborah Penn, Wanda Rance, Angela Austin, Patsie Baldwin",Therrell Panthers,49.1
,,1A,"Elizabeth Smart, Gwen McIntyre, Pam Brown, Brenda Monds",Brooks County Trojans,50.7
,,B,"Audrey Carter, Cynthia Henry, Mamie Williams, Francis Leary",Vienna Vikings (Dooly County),51.2
,1 Mile Run,3A,Kristi Hanna,Lakeside (Dekalb) Vikings,05:23.1
,,2A,Robin Davis,West Fulton Owls,05:38.5
,,1A,Brenda Monds,Brooks County Trojans,05:31.9
,,B,Camille Howard,Douglass (Montezuma) Yellow Jackets (Macon County),05:34.8
,440 Yd. Dash,3A,Susan Seavey,Lakeside (Dekalb) Vikings,57.8
,,2A,Glenda Boss,Washington (ATL) Bulldogs,58.5
,,1A,Linda Johnson,Roosevelt Crimson Tide (Jackson-ATL),59.8
,,B,Barbara Apps,Crestwood (ATL) Colonels,01:00.0
,75 Yd. Dash,3A,Stephanie Amey,Chamblee Bulldogs,8.6
,,2A,Geraldine Sims,Monroe Area Purple Hurricanes,11.5
,,1A,Elizabeth Smart,Brooks County Trojans,8.8
,,B,Clara Harden,Toombs Central Yellow Jackets (Toombs County),8.8
,220 Yd. Dash,3A,Sheila Jordan,Avondale Blue Devils,25.5
,,2A,Alice Jackson,George (ATL) Falcons (South Atlanta),25.8
,,1A,Linda Ewing,Irwin County Indians,26.5
,,B,Constance Clark,Douglass (Montezuma) Yellow Jackets (Macon County),26.5
,80 Yd. Low Hurdles,3A,Sonya Crute,Northside Tigers (North Atlanta),10.8
,,2A,Kathy Cannida,Washington (ATL) Bulldogs,10.9
,,1A,Vickie Newton,Sylvan Hills (ATL) Golden Bears,11.6
,,B,Vickie Howard,Douglass (Montezuma) Yellow Jackets (Macon County),11.2
,100 Yd. Dash,3A,Stephanie Amey,Chamblee Bulldogs,11.1
,,2A,Geraldine Sims,Monroe Area Purple Hurricanes,11.5
,,1A,Elizabeth Smart,Brooks County Trojans,11.4
,,B,Clara Harden,Toombs Central Yellow Jackets (Toombs County),11.7
,880 Yd. Run,3A,Susan Seavey,Lakeside (Dekalb) Vikings,02:24.7
,,2A,Glenda Boss,Washington (ATL) Bulldogs,02:25.9
,,1A,Brenda Monds,Brooks County Trojans,02:30.7
,,B,Barbara Apps,Crestwood (ATL) Colonels,02:23.0
,880 Yd. Relay,3A,"Angela Binns, Chandra Robinson, Tina Brewer, Annette Momon",Washington (ATL) Bulldogs,01:43.1
,,2A,"Deborah Penn, Wanda Rance, Erin Baldwin, Angela Austin",Therrell Panthers,01:43.5
,,1A,"Linda Marshall, Debbie Dunn, Vera Leverett, Ganella Tanksley",Harlem Bulldogs,01:47.1
,,B,"Audrey Carter, Cynthia Henry, Mamie Williams, Francis Leary",Vienna Vikings (Dooly County),01:48.2
,Discus,3A,Jill Joiner,Southwest DeKalb Panthers,"113' 0.5"""
,,2A,Victoria Williams,West Fulton Owls,"127' 7.5"""
,,1A,Elizabeth Victoria McClendon,Ridgeview (ATL) Redskins,"109' 4.75"""
,,B,Nell Rhymes,Pelham Hornets,"110' 11.5"""
,High Jump,3A,Gail Tompkins,Clarke Central Gladiators,"5' 0"""
,,2A,Debbie Law,Dalton Catamounts,"5' 0"""
,,1A,Gloria Summerset,Early County Bobcats,"5' 0"""
,,B,Jenny Brewer,Crestwood (ATL) Colonels,"5'1"""
,Shot Put,3A,Cindy Davison,Berkmar Patriots,"36' 4"""
,,2A,Sharon Roach,Washington (ATL) Bulldogs,"42' 0"""
,,1A,Diane Fuller,Irwin County Indians,"37-4.5"""
,,B,Camille Howard,Douglass (Montezuma) Yellow Jackets (Macon County),"37' 7.25"""
,Long Jump,3A,Sheila Jordan,Avondale Blue Devils,"17' 6.75"""
,,2A,Gwendolyn Street,Swainsboro Tigers,"17' 0"""
,,1A,Elizabeth Smart,Brooks County Trojans,"17' 8.5"""
,,B,Cathy Barrett,West Point Red Devils (Troup),"16' 6"""
1975,440 Yd. Relay,3A,"Kathy Williams, Vivian Harris, Dorothy Simmons, Karen Ross",Douglass (ATL) Astros,50.3
,,2A,"Kathy Cannida, Sharon Tillman, Mary Williams, Marilyn Jones",Washington (ATL) Bulldogs,49.9
,,1A,"Mary Williams, Brenda Hall, Gladys Mitchell, Ressie Ivey",Price (ATL) Wildcats,51.2
,,B,"Audrey Faye Carter, Cynthia Henry, Mamie Williams, Francis Leary",Vienna Vikings,52
,1 Mile Run,3A,Carol Vaux,Lakeside (Dekalb) Vikings,05:35.1
,,2A,Katherleen Tukes,Washington (ATL) Bulldogs,05:32.5
,,1A,Brenda Monds,Brooks County Tigers,05:39.3
,,B,Camille Howard,Douglass (Montezuma) Bulldogs,05:38.0
,440 Yd. Dash,3A,Ola Jones,Northeast (Macon) Raiders,59.5
,,2A,Faye Fragher,Washington (ATL) Bulldogs,59.9
,,1A,Gardenia Starling,Randolph County Vikings,01:03.0
,,B,Barbara Apps,Crestwood (ATL) Colonels,01:00.7
,75 Yd. Dash,3A,Stephanie Amey,Chamblee Bulldogs,8.6
,,2A,Denise Habersham,Swainsboro Tigers,8.7
,,1A,Diane Williams,East Wildcats (Crim),8.9
,,B,Francis Leary,Vienna Vikings,9.1
,220 Yd. Dash,3A,Karen Ross,Douglass (ATL) Astros,25.5
,,2A,Marilyn Jones,Washington (ATL) Bulldogs,25.2
,,1A,Mary Williams,Price (ATL) Wildcats,25.4
,,B,Audrey Faye Carter,Vienna Vikings,27
,80 Yd. Low Hurdles,3A,Sonya Crute,Northside (ATL) Tigers,11.2
,,2A,Kathy Cannida,Washington (ATL) Bulldogs,11
,,1A,Angela Ross,East Wildcats (Crim),11.6
,,B,Vickie Howard,Douglass (Montezuma) Bulldogs,11.8
,100 Yd. Dash,3A,Sheila Jordan,Avondale (DeKalb) Blue Devils,11.4
,,2A,Marilyn Jones,Washington (ATL) Bulldogs,11
,,1A,Mary Williams,Price (ATL) Wildcats,11.2
,,B,Audrey Faye Carter,Vienna Vikings,12
,880 Yd. Run,3A,Susan Seavey,Lakeside (Dekalb) Vikings,02:29.8
,,2A,Veronica Smith,West Rome Chieftans,02:26.6
,,1A,Brenda Monds,Brooks County Tigers,02:27.7
,,B,Barbara Apps,Crestwood (ATL) Colonels,2;26.3
,880 Yd. Relay,3A,"Kathy Williams, Vivian Harris, Freya Andrews, Karen Ross",Douglass (ATL) Astros,01:47.7
,,2A,"Yvonne Ross, Larinda Nichols, Vickie Palmer, Angela Austin",Therrell Panthers,01:45.9
,,1A,"Gwen McIntyre, Coretta Bloom, Elizabeth Smart, Brenda Monds",Brooks County Tigers,01:48.5
,,B,"Audrey Faye Carter, Cynthia Henry, Mamie Williams, Francis Leary (B Team)",Vienna Vikings,01:52.9
,Discus,3A,Margaret Geiger,Avondale (DeKalb) Blue Devils,"114' 0"""
,,2A,Victoria Williams,West Fulton Owls,"122' 1.5"""
,,1A,Gloria Christian,Brooks County Tigers,"95' 8"""
,,B,Sherry Callihan,East Fannin Wildcats,"96' 10"""
,High Jump,3A,Linda McDade,Osborne Cardinals,"5' 1"""
,,2A,Josephine Maddox,Westminster Wildcats,"4' 11"""
,,1A,Gloria Summerset,Early County Bobcats,"5' 2"""
,,B,Shebra Legrant,Montgomery County Eagles,"4' 11"""
,Shot Put,3A,Geraldine Phillips,Marietta Blue Devils,"35' 10.75"""
,,2A,Sharon Roach,Washington (ATL) Bulldogs,"42' 0.75"""
,,1A,Victoria McClendon,Ridgeview (ATL) Redskins,"35' 11.75"""
,,B,Laura Lamb,Pace Academy Knights,"33' 6.5"""
,Long Jump,3A,Mindy Nelson,Tucker Tigers Tigers,"17' 4"""
,,2A,Delores Stephens,Gordon Generals,"18' 4"""
,,1A,Margaret King,East Wildcats (Crim),"16' 1"""
,,B,Denise Buffington,Bremen Blue Devils,"16' 7.5"""
1974,440 Yd. Relay,3A,"Kathy Williams, Sharon Willis, Angelo Brown, Karen Ross",Douglass (ATL) Astros,50.4
,,2A,"Lila Kirkland, Shirley Robinson, Lorene Robinson, Carolyn Parrish",Screven County Gamecocks,49.9
,,1A,"Lydia Marshall, Ruth Jones, Edith Raiford, Mildred Scott",Harlem Bulldogs,52
,,B,"Catherine Cobbs, Annie Ceaser, Willie Ree Davis, Annette Jones",Quitman County Hornets,53.3
,1 Mile Run,3A,Carol Seavey,Lakeside (Dekalb) Vikings,05:54.2
,,2A,Katherleen Tukes,Washington (ATL) Bulldogs,05:37.3
,,1A,Rhonda Sharp,Putnam County Blue Devils,05:53.8
,,B,Becky Laird,Arlington Travelers,06:06.7
,440 Yd. Dash,3A,Barbara Finney,Dalton Catamounts,01:02.0
,,2A,Lillian Ross,Perry Panthers,01:08.0
,,1A,Violet Davis,Vienna Vikings,01:04.1
,,B,Jackie Hand,East Coweta Indians,01:02.3
,75 Yd. Dash,3A,Stephanie Amey,Chamblee Bulldogs,8.6
,,2A,Mary Williams,Price (ATL) Wildcats,8.4
,,1A,Glynis Hill,St. Pius X Golden Lions,8.9
,,B,Annie Ceaser,Quitman County Hornets,8.7
,220 Yd. Dash,3A,Karen Ross,Douglass (ATL) Astros,25.6
,,2A,Mary Williams,Price (ATL) Wildcats,25.3
,,1A,Mildred Scott,Harlem Bulldogs,26.1
,,B,Sharon Tate,Loganville Red Devils,27.6
,80 Yd. Low Hurdles,3A,Patricia Mitchell,Washington (ATL) Bulldogs,10.9
,,2A,Gloria Tuggle,Monroe Area Purple Hurricanes,10.7
,,1A,Lydia Beavers,Milton Eagles,11.9
,,B,Janine Crist,Arlington Travelers,12
,100 Yd. Dash,3A,Margaret Ransom,Avondale (DeKalb) Blue Devils,11.2
,,2A,Shirley Robinson,Screven County Gamecocks,11.3
,,1A,Mildred Scott,Harlem Bulldogs,11.3
,,B,Annie Ceaser,Quitman County Hornets,11.3
,880 Yd. Run,3A,Sally King,Briarcliff Barons,02:28.6
,,2A,Deborah Cross,Monroe Area Purple Hurricanes,02:27.2
,,1A,Georgia Toomer,Claxton Tigers,02:39.3
,,B,Rhonda Carter,Echols County Wildcats,02:36.4
,880 Yd. Relay,3A,"Chandra Robinson, Dimetra Grant, Gueader Whiters, Annette Momon",Washington (ATL) Bulldogs,01:48.9
,,2A,"Deborah Wiley, Mary Williams, Linda Fragher, Marilyn Jones",Washington (ATL) Bulldogs,01:44.7
,,1A,"Laure Howard, Karyn Dolan, Angela Donnelly, Glynis Hill",St. Pius X Golden Lions,01:52.9
,,B,"Annie Ceaser, DeLores McFolley, Catherine Cobbs, Annette Jones",Quitman County Hornets,01:51.8
,Discus,3A,Carolyn Leonard,Washington (ATL) Bulldogs,"101' 9.75"""
,,2A,Sheila Johnson,Swainsboro Tigers,"109' 11.75"""
,,1A,Mamie Jackson,McIntosh County Academy Buccaneers,"94' 11.25"""
,,B,Carol Ina Peebles,Towns County Indians,"91' 0.25"""
,High Jump,3A,Arthur Ree Hurd (Reed?),Douglass (ATL) Astros,"4' 10"""
,,2A,Sissy Maddox,Westminster Wildcats,"5' 0"""
,,1A,TIE--Glennell Eason / Iris Weaver,Reidsville Tigers (Tattnall County) / Hephzibah Rebels,"4' 10"""
,,B,Kristi Cook,Savannah Country Day Hornets,"4' 8"""
,Shot Put,3A,Margaret Geiger,Avondale (DeKalb) Blue Devils,"37' 1"""
,,2A,Victoria Williams,West Fulton Owls,"38' 8"""
,,1A,Lucille Leverett,Harlem Bulldogs,"35' 7.75"""
,,B,Laura Lamb,Pace Academy Knights,"32' 0.5"""
,Long Jump,3A,Bridget Hall,Tucker Tigers,"17' 6"""
,,2A,Yvonne Reeves,Washington (ATL) Bulldogs,"17' 8"""
,,1A,Mildred Scott,Harlem Bulldogs,"17' 0"""
,,B,Rhonda Carter,Echols County Wildcats,"17' 5.5"""
1973,440 yd. Relay,3A,"Patricia Mitchell, Dimitri Grant, Gueader Whiters, Delores Vinson",Washington (ATL) Bulldogs,50
,,2A,"Diane Williams, Rose Baugh, Blanche Williams, Lisa Harris",East Wildcats (Crim),50.2
,,1A,"Shirley Dunn, Sheila Gracy, Edith Raiford, Mildred Scott",Harlem Bulldogs,53.1
,,B,"Eva Long, Annette Jones, Corene Granger, Annie Ceaser",Quitman County Hornets,53.9
,440 Yd. Dash,3A,Karen Willis,Washington (ATL) Bulldogs,01:02.3
,,2A,Carolyn Parrish,Swainsboro Tigers,59.3
,,1A,Loretta Germany,Hephzibah Rebels,01:05.1
,,B,Delores McFolley,Quitman County Hornets,01:08.1
,75 Yd. Dash,3A,Sheila Choates,Douglass (ATL) Astros,8.8
,,2A,Portia Arnold,Carver (ATL) Panthers,8.9
,,1A,Shirley Dunn,Harlem Bulldogs,9.3
,,B,Anne Ceaser,Quitman County Hornets,9
,220 Yd. Dash,3A,Sheila Choates,Douglass (ATL) Astros,26.2
,,2A,Deborah Rowe,Smith Fighting Smithies (Jackson-ATL),26.5
,,1A,Su Lipscomb,Milton Eagles,27.2
,,B,Catherine Cobbs,Quitman County Hornets,28
,80 Yd. Low Hurdles,3A,Arthur Ree Reed,Douglass (ATL) Astros,10.1
,,2A,Barbara Dennis,Washington (ATL) Bulldogs,10
,,1A,Su Lipscomb,Milton Eagles,10.3
,,B,Carolyn Almond,Bremen Blue Devils,11.5
,100 Yd. Dash,3A,Margaret Bankston,Douglass (ATL) Astros,11.8
,,2A,Portia Arnold,Carver (ATL) Panthers,11.4
,,1A,Mildred Scott,Harlem Bulldogs,11.8
,,B,Anne Ceaser,Quitman County Hornets,11.6
,880 Yd. Run,3A,Brenda Reed,Avondale Blue Devils,02:32.6
,,2A,Faye Fragher,Washington (ATL) Bulldogs,02:24.7
,,1A,Nancy Hansley,Vidalia Indians,02:43.9
,,B,Eva Long,Quitman County Hornets,02:47.8
,880 Yd. Relay,3A,"Montinette Wells, Sheila Choates, Margaret Bankston, Karen Ross",Douglass (ATL) Astros,01:48.2
,,2A,"Deborah Wiley, Linda Fragher, Betty Gundy, Mary Williams",Washington (ATL) Bulldogs,01:47.6
,,1A,"Jeannette Campbell, Loretta Germany, Bonnie Cobine, Iris Weaver",Hephzibah Rebels,01:52.0
,,B,"Catherine Cobbs, Delores McFolley, Annie Ceaser, Willie Ree Davis",Quitman County Hornets,01:53.4
,Discus,3A,Margaret Geiger,Avondale Blue Devils,"99' 8"""
,,2A,Brenda Carter,Worth County Rams,"108' 6"""
,,1A,Lucille Leverette,Harlem Bulldogs,"102' 8.5"""
,,B,Catherine Cobbs,Quitman County Hornets,"88' 7"""
,High Jump,3A,Renae Kline,Johnson (Gainesville) Knights,"4' 10"""
,,2A,TIE--Cynthia Jacob / Galetha Clemons,Perry Panthers / Southwest Wolves (Mays),5'
,,1A,Iris Weaver,Hephzibah Rebels,"4' 11.75"""
,,B,Ruby Williams,GA School of the Deaf Tigers,"4' 4"""
,Shot Put,3A,Margaret Geiger,Avondale Blue Devils,"38' 2.5"""
,,2A,Angela Henderson,East Wildcats (Crim),"39' 1"""
,,1A,Betty Marshall,Harlem Bulldogs,"36' 1"""
,,B,Jeanne Tutt,Echols County Wildcats,"30' 3"""
,Long Jump,3A,Sheila Choates,Douglass (ATL) Astros,"16' 5.5"""
,,2A,Carolyn Parrish,Swainsboro Tigers,"17' 9.25"""
,,1A,Mildred Scott,Harlem Bulldogs,"16' 10.25"""
,,B,Kathy Derring,Western (Newnan),"15' 10.25"""
1972,440 Yd. Relay,Open,"Theresa Montgomery, Karen Willis, Vickie Franks, Deborah Dukes",Washington (ATL) Bulldogs,49.8
,440 Yd. Dash,Open,Karen Willis,Washington (ATL) Bulldogs,58.3
,880 Yd. Dash,Open,Michelle Flowers,Southwest Wolves (Mays),0.1
,75 Yd. Dash,Open,Theresa Montgomery,Washington (ATL) Bulldogs,8.4
,220 Yd. Dash,Open,Karen Willis,Washington (ATL) Bulldogs,26.1
,70 Yd. Low Hurdles,Open,Patricia Mitchell,Washington (ATL) Bulldogs,9.7
,100 Yd. Dash,Open,Theresa Montgomery,Washington (ATL) Bulldogs,11
,880 Yd. Relay,Open,"Theresa Montgomery, Karen Willis, Vickie Franks, Patricia Mitchell",Washington (ATL) Bulldogs,01:45.6
,Discus,Open,Angela Henderson,East Wildcats (Crim),"115' 5"""
,Triple Jump,Open,Did not contest,,
,High Jump,Open,Galetha Clemons,Southwest Wolves (Mays),5'
,Shot Put,Open,Angela Henderson,East Wildcats (Crim),"40' 4"""
,Long Jump,Open,Elaine Parrish,Swainsboro Tigers,"18' 0"""
1971,440 Yd. Relay,Open,"Theresa Montgomery, Karen Willis, Cynthia Walker, Shirley Robertson",Washington (ATL) Bulldogs,49.8
,440 Yd. Dash,Open,Rosetta Parrish,Swainsboro Tigers,01:00.2
,880 Yd. Run,Open,Did not contest,,
,75 Yd. Dash,Open,Theresa Montgomery,Washington (ATL) Bulldogs,8.6
,220 Yd. Dash,Open,Karen Willis,Washington (ATL) Bulldogs,26.3
,70 Yd. Low Hurdles,Open,Etrulia Harper,Washington (ATL) Bulldogs,9.8
,100 Yd. Dash,Open,Theresa Montgomery,Washington (ATL) Bulldogs,11.1
,880 Yd. Relay,Open,"Theresa Montgomery, Karen Willis, Vickie Franks, Shirley Robertson",Washington (ATL) Bulldogs,01:46.2
,Discus,Open,Dale Thomas,Monroe Area Purple Hurricanes,"111' 5"""
,Running High Jump,Open,Ruby Smith,East Coweta Indians,"5' 0"""
,Shot Put,Open,Dale Thomas,Monroe Area Purple Hurricanes,"36' 10.5"""
,Triple Jump,Open,Shelby Willis,Elbert County Blue Devils,"34' 5"""
,Running Long Jump,Open,Elaine Parrish,Swainsboro Tigers,"17' 1.5"""
1970,440 Yd. Relay,Open,"Theresa Montgomery, Shirley Robertson, Karen Willis, Cynthia Walker",Washington (ATL) Bulldogs,51
,440 Yd. Dash,Open,Rosetta Parrish,Swainsboro Tigers,01:00.6
,100 Yd. Dash,Open,Theresa Montgomery,Washington (ATL) Bulldogs,11.3
,70 Yd. Low Hurdles,Open,Angela Lowe,Archer (ATL) Eagles,9.6
,220 Yd. Dash,Open,Jerri Clark,Douglass (ATL) Astros,26.5
,75 Yd. Dash,Open,Theresa Montgomery,Washington (ATL) Bulldogs,8.6
,880 Yd. Relay,Open,"Theresa Montgomery, Shirley Robertson, Karen Willis, Cynthia Walker",Washington (ATL) Bulldogs,01:49.3
,Discus,Open,Yvonne Usher,Price Wildcats (Carver-ATL),"116' 8.5"""
,Triple Jump,Open,Barbara Parrish,Swainsboro Tigers,"35' 0"""
,Running High Jump,Open,Patty Coppage,Turner (ATL) Greenwaves,"4' 11"""
,Shot Put,Open,Jerri Clark,Douglass (ATL) Astros,"32' 9.5"""
,Running Long Jump,Open,Judy Tufts,Northside Tigers (North Atlanta),"18'0"""
1969,440 Yd. Relay,Open,"Angela Lowe, Patricia Hunter, Harriett Lloyd, Loretta Hunter",Archer (ATL) Eagles,49.7
,440 Yd. Dash,Open,Linda Hindsman,Archer (ATL) Eagles,01:01.6
,100 Yd. Dash,Open,Loretta Hunter,Archer (ATL) Eagles,11.5
,70 Yd. Low Hurdles,Open,Angela Lowe,Archer (ATL) Eagles,9.9
,220 Yd. Dash,Open,Patricia Hunter,Archer (ATL) Eagles,26.5
,75 Yd. Dash,Open,Loretta Hunter,Archer (ATL) Eagles,8.8
,880 Yd. Relay,Open,"Angela Lowe, Patricia Hunter, Harriett Lloyd, Loretta Hunter",Archer (ATL) Eagles,01:48.0
,Discus,Open,Yvonne Usher,Price Wildcats (Carver-ATL),"112' 10.5"""
,Triple Jump,Open,Rozella McClure,Washington (ATL) Bulldogs,"34' 1.5"""
,Running High Jump,Open,Becki Tufts,Northside Tigers (North Atlanta),"5'2"""
,Shot Put,Open,Judy Riley,Murphy (ATL) War Eagles (Crim),"41' 0"""
,Running Long Jump,Open,Wanda Jackson,Archer (ATL) Eagles,"16' 10.5"""
1968,440 Yd. Relay,Open,"Angela Lowe, Patricia Hunter, Harriett Lloyd, Loretta Hunter",Archer (ATL) Eagles,53.5
,440 Yd. Dash,Open,Linda Hindsman,Archer (ATL) Eagles,01:06.6
,100 Yd. Dash,Open,Loretta Hunter,Archer (ATL) Eagles,11.9
,70 Yd. Low Hurdles,Open,Phyllis Chester,Turner (ATL) Greenwaves,10.6
,220 Yd. Dash,Open,Patricia Hunter,Archer (ATL) Eagles,27.8
,75 Yd. Dash,Open,Angela Lowe,Archer (ATL) Eagles,9.3
,880 Yd. Relay,Open,"Barbara Tucker, Patricia Hunter, Harriett Lloyd, Loretta Hunter",Archer (ATL) Eagles,01:55.5
