"State","Year","Gender","Event","Mark"
"Illinois",1978,"Boys","1600m",247.95348
"Illinois",1978,"Boys","800m",109.66026
"Illinois",1978,"Boys","High Jump",2.032
"Illinois",1978,"Boys","Pole Vault",4.2672
"Illinois",1978,"Girls","100m",11.90272
"Illinois",1978,"Girls","1600m",294.87972
"Illinois",1978,"Girls","800m",130.14078
"Illinois",1978,"Girls","High Jump",1.7018
"Illinois",1979,"Boys","100m",10.40394
"Illinois",1979,"Boys","1600m",248.84826
"Illinois",1979,"Boys","800m",112.94112
"Illinois",1979,"Boys","High Jump",1.9812
"Illinois",1979,"Boys","Pole Vault",4.45135
"Illinois",1979,"Girls","100m",11.9246
"Illinois",1979,"Girls","1600m",298.55826
"Illinois",1979,"Girls","800m",132.42744
"Illinois",1979,"Girls","High Jump",1.7272
"Illinois",1980,"Boys","100m",10.55
"Illinois",1980,"Boys","1600m",253.5
"Illinois",1980,"Boys","800m",111.2
"Illinois",1980,"Boys","High Jump",2.03835
"Illinois",1980,"Boys","Pole Vault",4.4704
"Illinois",1980,"Girls","100m",12.2
"Illinois",1980,"Girls","1600m",302.6
"Illinois",1980,"Girls","800m",133.1
"Illinois",1980,"Girls","High Jump",1.7018
"Illinois",1981,"Boys","100m",9.95
"Illinois",1981,"Boys","1600m",255.4
"Illinois",1981,"Boys","800m",111.5
"Illinois",1981,"Boys","High Jump",2.06375
"Illinois",1981,"Boys","Pole Vault",4.2672
"Illinois",1981,"Girls","100m",11.7
"Illinois",1981,"Girls","1600m",297.3
"Illinois",1981,"Girls","800m",130.9
"Illinois",1981,"Girls","High Jump",1.7018
"Illinois",1982,"Boys","100m",10.39
